"","Year","country","Gender","lex"
"1",1959,"Russia","Female",71.14
"2",1960,"Russia","Female",72.31
"3",1961,"Russia","Female",72.63
"4",1962,"Russia","Female",72.27
"5",1963,"Russia","Female",72.78
"6",1964,"Russia","Female",73.58
"7",1965,"Russia","Female",73.33
"8",1966,"Russia","Female",73.55
"9",1967,"Russia","Female",73.43
"10",1968,"Russia","Female",73.56
"11",1969,"Russia","Female",73.29
"12",1970,"Russia","Female",73.44
"13",1971,"Russia","Female",73.77
"14",1972,"Russia","Female",73.62
"15",1973,"Russia","Female",73.56
"16",1974,"Russia","Female",73.77
"17",1975,"Russia","Female",73.23
"18",1976,"Russia","Female",73.04
"19",1977,"Russia","Female",73.19
"20",1978,"Russia","Female",73.23
"21",1979,"Russia","Female",73.02
"22",1980,"Russia","Female",72.96
"23",1981,"Russia","Female",73.18
"24",1982,"Russia","Female",73.64
"25",1983,"Russia","Female",73.41
"26",1984,"Russia","Female",72.96
"27",1985,"Russia","Female",73.23
"28",1986,"Russia","Female",74.22
"29",1987,"Russia","Female",74.26
"30",1988,"Russia","Female",74.25
"31",1989,"Russia","Female",74.5
"32",1990,"Russia","Female",74.32
"33",1991,"Russia","Female",74.23
"34",1992,"Russia","Female",73.71
"35",1993,"Russia","Female",71.85
"36",1994,"Russia","Female",71.07
"37",1995,"Russia","Female",71.6
"38",1996,"Russia","Female",72.41
"39",1997,"Russia","Female",72.85
"40",1998,"Russia","Female",73.12
"41",1999,"Russia","Female",72.42
"42",2000,"Russia","Female",72.25
"43",2001,"Russia","Female",72.16
"44",2002,"Russia","Female",71.89
"45",2003,"Russia","Female",71.84
"46",2004,"Russia","Female",72.31
"47",2005,"Russia","Female",72.41
"48",2006,"Russia","Female",73.24
"49",2007,"Russia","Female",73.9
"50",2008,"Russia","Female",74.18
"51",2009,"Russia","Female",74.7
"52",2010,"Russia","Female",74.79
"53",1959,"Ukraine","Female",72.2
"54",1960,"Ukraine","Female",73.8
"55",1961,"Ukraine","Female",74.15
"56",1962,"Ukraine","Female",73.52
"57",1963,"Ukraine","Female",74.24
"58",1964,"Ukraine","Female",75.03
"59",1965,"Ukraine","Female",74.6
"60",1966,"Ukraine","Female",74.99
"61",1967,"Ukraine","Female",74.64
"62",1968,"Ukraine","Female",74.92
"63",1969,"Ukraine","Female",74.53
"64",1970,"Ukraine","Female",74.43
"65",1971,"Ukraine","Female",74.76
"66",1972,"Ukraine","Female",74.45
"67",1973,"Ukraine","Female",74.66
"68",1974,"Ukraine","Female",74.7
"69",1975,"Ukraine","Female",74.25
"70",1976,"Ukraine","Female",74.22
"71",1977,"Ukraine","Female",74.21
"72",1978,"Ukraine","Female",74.2
"73",1979,"Ukraine","Female",74.03
"74",1980,"Ukraine","Female",74.06
"75",1981,"Ukraine","Female",74.18
"76",1982,"Ukraine","Female",74.42
"77",1983,"Ukraine","Female",74.39
"78",1984,"Ukraine","Female",74.09
"79",1985,"Ukraine","Female",74.03
"80",1986,"Ukraine","Female",75.01
"81",1987,"Ukraine","Female",74.91
"82",1988,"Ukraine","Female",74.78
"83",1989,"Ukraine","Female",75.19
"84",1990,"Ukraine","Female",74.9
"85",1991,"Ukraine","Female",74.32
"86",1992,"Ukraine","Female",74.03
"87",1993,"Ukraine","Female",73.35
"88",1994,"Ukraine","Female",72.95
"89",1995,"Ukraine","Female",72.51
"90",1996,"Ukraine","Female",72.78
"91",1997,"Ukraine","Female",73.17
"92",1998,"Ukraine","Female",73.83
"93",1999,"Ukraine","Female",73.61
"94",2000,"Ukraine","Female",73.52
"95",2001,"Ukraine","Female",73.64
"96",2002,"Ukraine","Female",73.63
"97",2003,"Ukraine","Female",73.53
"98",2004,"Ukraine","Female",73.62
"99",2005,"Ukraine","Female",73.37
"100",2006,"Ukraine","Female",73.79
"101",2007,"Ukraine","Female",73.68
"102",2008,"Ukraine","Female",73.91
"103",2009,"Ukraine","Female",74.84
"104",2010,"Ukraine","Female",75.19
"105",2011,"Ukraine","Female",75.85
"106",2012,"Ukraine","Female",75.99
